Event ID,Event Name,Start Date/Time,End Date/Time,Event Agency,Event Type,Event Borough,Event Location,Event Street Side,Street Closure Type,Community Board,Police Precinct
626079.0,NYC Saint Patrick's Day Parade,03/17/2022 11:00:00 AM,03/17/2022 04:00:00 PM,Parks Department,Special Event,Manhattan,Central Park: Fifth Ave Sidewalks - 65th St to 72nd St,,,"64,","22,"
46217.0,NYC Saint Patrick's Day Parade,03/17/2012 11:00:00 AM,03/17/2012 05:00:00 PM,Parks Department,Special Event,Manhattan,Central Park: 5th Ave Sidewalks-97th St to 90th St   ,,,"64, ","22, "
396022.0,NYC Saint Patrick's Day Parade,03/17/2018 08:00:00 AM,03/17/2018 06:57:00 PM,Parks Department,Special Event,Manhattan,Central Park: Fifth Ave Sidewalks - 60 St to 65 St ,,,"64, ","22, "
83824.0,NYC Saint Patrick's Day Parade,03/16/2013 08:00:00 AM,03/16/2013 08:00:00 PM,Parks Department,Special Event,Manhattan,"Central Park: Fifth Ave Sidewalks - 65th St to 72nd St ,Central Park: Fifth Ave Sidewalks - 79th St to 85th St ,Central Park: Fifth Ave Sidewalks - 60 St to 65 St ",,,"64, ","22, "
200123.0,NYC Saint Patrick's Day Parade,03/17/2015 11:00:00 AM,03/17/2015 05:00:00 PM,Parks Department,Special Event,Manhattan,Central Park: Fifth Ave Sidewalks - 60 St to 65 St ,,,"64, ","22, "
332693.0,"NYC Saint Patrick's Day Parade, inc",03/17/2017 06:00:00 AM,03/17/2017 07:00:00 PM,Parks Department,Special Event,Manhattan,Central Park: Fifth Ave Sidewalks - 60 St to 65 St ,,,"64, ","22, "
195957.0,Heritage of Pride NYC Pride March 2015,06/28/2015 12:00:00 PM,06/28/2015 06:00:00 PM,Police Department,Parade,Manhattan," EAST   41 STREET between 5 AVENUE and PARK AVENUE,  FIFTH AVENUE between EAST   41 STREET and WEST    8 STREET,  WEST    8 STREET between FIFTH AVENUE and SIXTH AVENUE,  GREENWICH AVENUE between SIXTH AVENUE and CHRISTOPHER STREET,  CHRISTOPHER STREET between GREENWICH AVENUE and GREENWICH STREET,  GREENWICH STREET between WEST   11 STREET and LEROY STREET,  FIFTH AVENUE between EAST    8 STREET and WASHINGTON MEWS, Worth Square: Worth Square , BLEECKER STREET between CHRISTOPHER STREET and WEST   10 STREET,  EAST   36 STREET between FIFTH AVENUE and MADISON AVENUE,  EAST   40 STREET between 5 AVENUE and PARK AVENUE,  WEST   39 STREET between 6 AVENUE and 5 AVENUE,  EAST   39 STREET between 5 AVENUE and PARK AVENUE,  WEST   38 STREET between 6 AVENUE and 5 AVENUE,  EAST   38 STREET between 5 AVENUE and PARK AVENUE,  WEST   37 STREET between 6 AVENUE and 5 AVENUE,  EAST   37 STREET between 5 AVENUE and PARK AVENUE,  EAST   36 STREET between PARK AVENUE and 5 AVENUE,  WEST   36 STREET between 6 AVENUE and 5 AVENUE",Full,Full Street Closure ,"2, 5, 6, ","13, 14, 17, 6, "
260355.0,Heritage of Pride NYC Pride March 2016,06/26/2016 12:00:00 PM,06/26/2016 06:00:00 PM,Police Department,Parade,Manhattan," FIFTH AVENUE between EAST   41 STREET and WEST    8 STREET,  WEST    8 STREET between FIFTH AVENUE and SIXTH AVENUE,  GREENWICH AVENUE between SIXTH AVENUE and CHRISTOPHER STREET,  CHRISTOPHER STREET between GREENWICH AVENUE and GREENWICH STREET,  GREENWICH STREET between WEST   11 STREET and LEROY STREET, Worth Square: Worth Square , FIFTH AVENUE between EAST    8 STREET and WASHINGTON MEWS,  BLEECKER STREET between CHRISTOPHER STREET and WEST   10 STREET,  EAST   41 STREET between FIFTH AVENUE and PARK AVENUE,  EAST   40 STREET between FIFTH AVENUE and PARK AVENUE,  WEST   39 STREET between SIXTH AVENUE and FIFTH AVENUE,  EAST   39 STREET between FIFTH AVENUE and PARK AVENUE,  WEST   38 STREET between SIXTH AVENUE and FIFTH AVENUE,  EAST   38 STREET between FIFTH AVENUE and PARK AVENUE,  WEST   37 STREET between SIXTH AVENUE and FIFTH AVENUE,  EAST   37 STREET between FIFTH AVENUE and PARK AVENUE,  WEST   36 STREET between SIXTH AVENUE and FIFTH AVENUE,  EAST   36 STREET between PARK AVENUE and FIFTH AVENUE",Full,Full Street Closure ,"2, 5, 6, ","13, 14, 17, 6, "
326438.0,Heritage of Pride NYC Pride March 2017,06/25/2017 12:00:00 PM,06/25/2017 07:00:00 PM,Police Department,Parade,Manhattan," EAST   41 STREET between FIFTH AVENUE and PARK AVENUE,  EAST   40 STREET between FIFTH AVENUE and PARK AVENUE,  WEST   39 STREET between SIXTH AVENUE and FIFTH AVENUE,  EAST   39 STREET between FIFTH AVENUE and PARK AVENUE,  WEST   38 STREET between SIXTH AVENUE and FIFTH AVENUE,  EAST   38 STREET between FIFTH AVENUE and PARK AVENUE,  WEST   37 STREET between SIXTH AVENUE and FIFTH AVENUE,  EAST   37 STREET between FIFTH AVENUE and PARK AVENUE,  WEST   36 STREET between SIXTH AVENUE and FIFTH AVENUE,  EAST   36 STREET between FIFTH AVENUE and MADISON AVENUE,  FIFTH AVENUE between EAST   41 STREET and WEST    8 STREET,  WEST    8 STREET between FIFTH AVENUE and SIXTH AVENUE,  GREENWICH AVENUE between SIXTH AVENUE and CHRISTOPHER STREET,  CHRISTOPHER STREET between GREENWICH AVENUE and GREENWICH STREET,  GREENWICH STREET between WEST   11 STREET and LEROY STREET, Worth Square: Worth Square ,Madison Square Park: 5th Ave Sidewalks , FIFTH AVENUE between EAST    8 STREET and WASHINGTON MEWS,  BLEECKER STREET between CHRISTOPHER STREET and WEST   10 STREET",Full,Full Street Closure ,"2, 5, 6, ","13, 14, 17, 6, "
402554.0,NYC Pride March,06/24/2018 12:00:00 PM,06/24/2018 05:00:00 PM,Police Department,Parade,Manhattan," WEST   19 STREET between 7 AVENUE and 9 AVENUE,  WEST   18 STREET between 7 AVENUE and 9 AVENUE,  WEST   17 STREET between 7 AVENUE and 9 AVENUE,  WEST   16 STREET between 7 AVENUE and 9 AVENUE,  WEST   16 STREET between 6 AVENUE and 7 AVENUE,  WEST   15 STREET between 7 AVENUE and 9 AVENUE,  7 AVENUE between WEST   19 STREET and 7 AVENUE SOUTH,  CHRISTOPHER STREET between 7 AVENUE SOUTH and GREENWICH AVENUE,  GREENWICH AVENUE between CHRISTOPHER STREET and 6 AVENUE,  WEST    8 STREET between 6 AVENUE and 5 AVENUE,  5 AVENUE between WEST    8 STREET and WEST   29 STREET, Worth Square: Worth Square ,St. Vincent's Triangle: NYC AIDS Memorial Park , 5 AVENUE between EAST    8 STREET and WASHINGTON MEWS,  EAST   30 STREET between MADISON AVENUE and 5 AVENUE,  EAST   31 STREET between MADISON AVENUE and 5 AVENUE,  EAST   32 STREET between MADISON AVENUE and 5 AVENUE,  7 AVENUE SOUTH between 7 AVENUE and CHRISTOPHER STREET,  WEST   30 STREET between 5 AVENUE and 6 AVENUE,  WEST   31 STREET between 5 AVENUE and 6 AVENUE,  WEST   32 STREET between 5 AVENUE and 6 AVENUE,  WEST   29 STREET between 6 AVENUE and 5 AVENUE,  EAST   29 STREET between MADISON AVENUE and 5 AVENUE,  5 AVENUE between EAST   29 STREET and EAST   32 STREET",Full,Full Street Closure ,"2, 4, 5, ","10, 13, 14, 6, "
402554.0,NYC Pride March,06/24/2018 12:00:00 PM,06/24/2018 05:00:00 PM,Police Department,Parade,Manhattan," WEST   19 STREET between 7 AVENUE and 9 AVENUE,  WEST   18 STREET between 7 AVENUE and 9 AVENUE,  WEST   17 STREET between 7 AVENUE and 9 AVENUE,  WEST   16 STREET between 7 AVENUE and 9 AVENUE,  WEST   16 STREET between 6 AVENUE and 7 AVENUE,  WEST   15 STREET between 7 AVENUE and 9 AVENUE,  7 AVENUE between WEST   19 STREET and 7 AVENUE SOUTH,  CHRISTOPHER STREET between 7 AVENUE SOUTH and GREENWICH AVENUE,  GREENWICH AVENUE between CHRISTOPHER STREET and 6 AVENUE,  WEST    8 STREET between 6",Full,Full Street Closure ,"2, 4, 5, ","10, 13, 14, 6, "
638616.0,The REAL NYC Pride March,06/26/2022 02:00:00 PM,06/26/2022 04:00:00 PM,Police Department,Parade,Manhattan,"WEST   28 STREET between 9 AVENUE and 10 AVENUE,  9 AVENUE between WEST   28 STREET and WEST   15 STREET,  9 AVE between 15 ST and 14 ST,  14 ST between 9 AVE and WASHINGTON ST,  WASHINGTON STREET between WEST   14 STREET and GANSEVOORT STREET,  GANSEVOORT STREET between WASHINGTON STREET and 10 AVENUE",Full,Full Street Closure,"2, 4,","10, 6,"
43353.0,New Year's Eve,12/31/2012 06:00:00 PM,01/01/2013 12:15:00 AM,Street Activity Permit Office,Special Event,Manhattan," 7 AVENUE between WEST   42 STREET and WEST   43 STREET,  BROADWAY between WEST   43 STREET and WEST   44 STREET,  BROADWAY between WEST   45 STREET and WEST   46 STREET,  BROADWAY between WEST   42 STREET and WEST   43 STREET,  BROADWAY between WEST   43 STREET and WEST   44 STREET,  BROADWAY between WEST   44 STREET and WEST   45 STREET,  BROADWAY between WEST   45 STREET and WEST   46 STREET,  BROADWAY between WEST   46 STREET and WEST   47 STREET,  WEST   43 STREET between 6 AVENUE and 8 AVENUE,  WEST   44 STREET between BROADWAY and 6 AVENUE,  9 AVENUE between WEST   44 STREET and WEST   45 STREET,  BROADWAY between WEST   44 STREET and WEST   45 STREET,  WEST   45 STREET between BROADWAY and 8 AVENUE,  WEST   46 STREET between 6 AVENUE and 8 AVENUE,  WEST   47 STREET between BROADWAY and 8 AVENUE,  BROADWAY between WEST   47 STREET and WEST   48 STREET,  BROADWAY between WEST   42 STREET and WEST   58 STREET,  7 AVENUE between WEST   42 STREET and WEST   59 STREET",Full,Full Street Closure ,"4, 5, ","14, 18, "
242474.0,New Year's Eve,12/31/2015 12:00:00 AM,12/31/2015 11:59:00 PM,Parks Department,Special Event,Manhattan,Father Duffy Square: Father Duffy Square ,,,"5, ","18, "
116615.0,New Year's Eve,12/31/2013 12:00:00 PM,12/31/2013 11:00:00 PM,Parks Department,Special Event,Manhattan,Father Duffy Square: Father Duffy Square ,,,"5, ","18, "
92391.0,New Year's Eve - Street Closures,12/31/2013 01:00:00 PM,01/01/2014 05:00:00 AM,Street Activity Permit Office,Special Event,Manhattan," 7 AVENUE between WEST   42 STREET and WEST   59 STREET,  BROADWAY between WEST   42 STREET and COLUMBUS CIRCLE,  WEST   42 STREET between 6 AVENUE and 8 AVENUE,  WEST   43 STREET between 6 AVENUE and 8 AVENUE,  WEST   44 STREET between 6 AVENUE and 8 AVENUE,  WEST   45 STREET between 6 AVENUE and 8 AVENUE,  WEST   46 STREET between 6 AVENUE and 8 AVENUE,  WEST   47 STREET between 6 AVENUE and 8 AVENUE,  WEST   48 STREET between 6 AVENUE and 8 AVENUE,  WEST   49 STREET between 6 AVENUE and 8 AVENUE,  WEST   50 STREET between 6 AVENUE and 8 AVENUE,  WEST   51 STREET between 6 AVENUE and 8 AVENUE,  WEST   52 STREET between 6 AVENUE and 8 AVENUE,  WEST   53 STREET between 6 AVENUE and 8 AVENUE,  WEST   54 STREET between 6 AVENUE and 8 AVENUE,  WEST   55 STREET between 6 AVENUE and 8 AVENUE,  WEST   56 STREET between 6 AVENUE and 8 AVENUE,  WEST   57 STREET between 6 AVENUE and 8 AVENUE,  WEST   58 STREET between 6 AVENUE and 8 AVENUE,  WEST   59 STREET between 6 AVENUE and COLUMBUS CIRCLE",Full,Full Street Closure ,"5, 64, ","14, 18, 22, "
78947.0,New Year's Eve - Street Closures,12/31/2012 01:00:00 PM,01/01/2013 05:00:00 AM,Street Activity Permit Office,Special Event,Manhattan," 7 AVENUE between WEST   42 STREET and WEST   59 STREET,  BROADWAY between WEST   42 STREET and COLUMBUS CIRCLE,  WEST   42 STREET between 6 AVENUE and 8 AVENUE,  WEST   43 STREET between 6 AVENUE and 8 AVENUE,  WEST   44 STREET between 6 AVENUE and 8 AVENUE,  WEST   45 STREET between 6 AVENUE and 8 AVENUE,  WEST   46 STREET between 6 AVENUE and 8 AVENUE,  WEST   47 STREET between 6 AVENUE and 8 AVENUE,  WEST   48 STREET between 6 AVENUE and 8 AVENUE,  WEST   49 STREET between 6 AVENUE and 8 AVENUE,  WEST   50 STREET between 6 AVENUE and 8 AVENUE,  WEST   51 STREET between 6 AVENUE and 8 AVENUE,  WEST   52 STREET between 6 AVENUE and 8 AVENUE,  WEST   53 STREET between 6 AVENUE and 8 AVENUE,  WEST   54 STREET between 6 AVENUE and 8 AVENUE,  WEST   55 STREET between 6 AVENUE and 8 AVENUE,  WEST   56 STREET between 6 AVENUE and 8 AVENUE,  WEST   57 STREET between 6 AVENUE and 8 AVENUE,  WEST   58 STREET between 6 AVENUE and 8 AVENUE,  WEST   59 STREET between 6 AVENUE and COLUMBUS CIRCLE",Full,Full Street Closure ,"5, 64, ","14, 18, 22, "
247254.0,New Year's Eve - Street Closures,12/31/2015 06:00:00 PM,01/01/2016 12:00:00 AM,Street Activity Permit Office,Special Event,Manhattan," 7 AVENUE between WEST   43 STREET and WEST   44 STREET,  7 AVENUE between WEST   44 STREET and WEST   45 STREET,  7 AVENUE between WEST   45 STREET and WEST   46 STREET,  7 AVENUE between WEST   46 STREET and WEST   47 STREET,  7 AVENUE between WEST   47 STREET and WEST   48 STREET,  7 AVENUE between WEST   48 STREET and WEST   49 STREET,  7 AVENUE between WEST   49 STREET and WEST   50 STREET,  7 AVENUE between WEST   50 STREET and WEST   51 STREET,  7 AVENUE between WEST   51 STREET and WEST   52 STREET,  7 AVENUE between WEST   52 STREET and WEST   53 STREET,  7 AVENUE between WEST   53 STREET and WEST   54 STREET,  7 AVENUE between WEST   55 STREET and WEST   56 STREET,  7 AVENUE between WEST   56 STREET and WEST   57 STREET,  7 AVENUE between WEST   57 STREET and WEST   58 STREET,  7 AVENUE between WEST   58 STREET and WEST   59 STREET,  7 AVENUE between WEST   42 STREET and WEST   43 STREET,  BROADWAY between WEST   42 STREET and WEST   43 STREET,  BROADWAY between WEST   43 STREET and WEST   44 STREET,  BROADWAY between WEST   44 STREET and WEST   45 STREET,  BROADWAY between WEST   45 STREET and WEST   46 STREET,  BROADWAY between WEST   46 STREET and WEST   47 STREET,  BROADWAY between WEST   47 STREET and WEST   48 STREET,  BROADWAY between WEST   48 STREET and WEST   49 STREET,  BROADWAY between WEST   49 STREET and WEST   50 STREET,  BROADWAY between WEST   50 STREET and WEST   51 STREET,  BROADWAY between WEST   51 STREET and WEST   52 STREET,  BROADWAY between WEST   52 STREET and WEST   53 STREET,  BROADWAY between WEST   53 STREET and WEST   54 STREET,  BROADWAY between WEST   54 STREET and WEST   55 STREET,  BROADWAY between WEST   55 STREET and WEST   56 STREET,  BROADWAY between WEST   56 STREET and WEST   57 STREET,  BROADWAY between WEST   57 STREET and WEST   58 STREET,  BROADWAY between WEST   58 STREET and COLUMBUS CIRCLE,  WEST   42 STREET between 6 AVENUE and 7 AVENUE,  WEST   42 STREET between 7 AVENUE and 8 AVENUE,  WEST   43 STREET between 6 AVENUE and 7 AVENUE,  WEST   43 STREET between 7 AVENUE and 8 AVENUE,  WEST   44 STREET between 6 AVENUE and 7 AVENUE,  WEST   44 STREET between 7 AVENUE and 8 AVENUE,  WEST   45 STREET between 6 AVENUE and 7 AVENUE,  WEST   45 STREET between 7 AVENUE and 8 AVENUE,  WEST   46 STREET between 6 AVENUE and 7 AVENUE,  WEST   46 STREET between 7 AVENUE and 8 AVENUE,  WEST   47 STREET between 6 AVENUE and 7 AVENUE,  WEST   47 STREET between 7 AVENUE and 8 AVENUE,  WEST   48 STREET between 6 AVENUE and 7 AVENUE,  WEST   48 STREET between 7 AVENUE and 8 AVENUE,  WEST   49 STREET between 6 AVENUE and 7 AVENUE,  WEST   49 STREET between 7 AVENUE and 8 AVENUE,  WEST   50 STREET between 6 AVENUE and 7 AVENUE,  WEST   50 STREET between 7 AVENUE and 8 AVENUE,  WEST   51 STREET between 6 AVENUE and 7 AVENUE,  WEST   51 STREET between 7 AVENUE and 8 AVENUE,  WEST   52 STREET between 6 AVENUE and 7 AVENUE,  WEST   52 STREET between 7 AVENUE and 8 AVENUE,  WEST   53 STREET between 6 AVENUE and 7 AVENUE,  WEST   53 STREET between 7 AVENUE and 8 AVENUE,  WEST   54 STREET between 6 AVENUE and 7 AVENUE,  WEST   54 STREET between 7 AVENUE and 8 AVENUE,  WEST   55 STREET between 6 AVENUE and 7 AVENUE,  WEST   55 STREET between 7 AVENUE and 8 AVENUE,  WEST   56 STREET between 6 AVENUE and 7 AVENUE,  WEST   56 STREET between 7 AVENUE and 8 AVENUE,  WEST   57 STREET between 6 AVENUE and 7 AVENUE,  WEST   57 STREET between 7 AVENUE and 8 AVENUE,  WEST   58 STREET between 6 AVENUE and 7 AVENUE,  WEST   58 STREET between 7 AVENUE and 8 AVENUE,  WEST   59 STREET between 6 AVENUE and 7 AVENUE,  WEST   59 STREET between 7 AVENUE and COLUMBUS CIRCLE",Full,Full Street Closure ,"5, 64, ","14, 18, 22, "
188756.0,New Year's Eve - Street Closures,12/31/2014 06:00:00 PM,01/01/2015 12:00:00 AM,Street Activity Permit Office,Special Event,Manhattan," 7 AVENUE between WEST   42 STREET and WEST   59 STREET,  BROADWAY between WEST   42 STREET and COLUMBUS CIRCLE,  WEST   42 STREET between 6 AVENUE and 8 AVENUE,  WEST   43 STREET between 6 AVENUE and 8 AVENUE,  WEST   44 STREET between 6 AVENUE and 8 AVENUE,  WEST   45 STREET between 6 AVENUE and 8 AVENUE,  WEST   46 STREET between 6 AVENUE and 8 AVENUE,  WEST   47 STREET between 6 AVENUE and 8 AVENUE,  WEST   48 STREET between 6 AVENUE and 8 AVENUE,  WEST   49 STREET between 6 AVENUE and 8 AVENUE,  WEST   50 STREET between 6 AVENUE and 8 AVENUE,  WEST   51 STREET between 6 AVENUE and 8 AVENUE,  WEST   52 STREET between 6 AVENUE and 8 AVENUE,  WEST   53 STREET between 6 AVENUE and 8 AVENUE,  WEST   54 STREET between 6 AVENUE and 8 AVENUE,  WEST   55 STREET between 6 AVENUE and 8 AVENUE,  WEST   56 STREET between 6 AVENUE and 8 AVENUE,  WEST   57 STREET between 6 AVENUE and 8 AVENUE,  WEST   58 STREET between 6 AVENUE and 8 AVENUE,  WEST   59 STREET between 6 AVENUE and COLUMBUS CIRCLE",Full,Full Street Closure ,"5, 64, ","14, 18, 22, "
